scientific_name,vernacular_name,genus,subgenus,taxon_rank,family_name,exotic,threatened_species_status
Euphorbia dallachyana,,Euphorbia,,,Euphorbiaceae,f,
Euryomyrtus ramosissima,,Euryomyrtus,,,Myrtaceae,f,
Eustrephus latifolius,,Eustrephus,,,Asparagaceae,f,
Exocarpos cupressiformis,,Exocarpos,,,Santalaceae,f,
Exocarpos strictus,,Exocarpos,,,Santalaceae,f,
Ficus macrophylla,,Ficus,,,Moraceae,f,
Ficus rubiginosa,,Ficus,,,Moraceae,f,
Fimbristylis dichotoma,,Fimbristylis,,,Cyperaceae,f,
Gahnia aspera,,Gahnia,,,Cyperaceae,f,
Gahnia clarkei,,Gahnia,,,Cyperaceae,f,
Gahnia filum,,Gahnia,,,Cyperaceae,f,
Gahnia melanocarpa,,Gahnia,,,Cyperaceae,f,
Gahnia sieberiana,,Gahnia,,,Cyperaceae,f,
Galium gaudichaudii,,Galium,,,Rubiaceae,f,
Galium leiocarpum,,Galium,,,Rubiaceae,f,
Geitonoplesium cymosum,,Geitonoplesium,,,Asparagaceae,f,
Geranium homeanum,,Geranium,,,Geraniaceae,f,
Geranium solanderi,,Geranium,,,Geraniaceae,f,
Gleichenia dicarpa,,Gleichenia,,,Gleicheniaceae,f,
Glossocardia bidens,,Glossocardia,,,Asteraceae,f,
Glossodia major,,Glossodia,,,Orchidaceae,f,
Glossodia minor,,Glossodia,,,Orchidaceae,f,
Glycine microphylla,,Glycine,,,Fabaceae,f,
Glycine tabacina,,Glycine,,,Fabaceae,f,
Gompholobium glabratum,,Gompholobium,,,Fabaceae,f,
Gompholobium grandiflorum,,Gompholobium,,,Fabaceae,f,
Gonocarpus tetragynus,,Gonocarpus,,,Haloragaceae,f,
Goodenia bellidifolia,,Goodenia,,,Goodeniaceae,f,
Goodenia hederacea,,Goodenia,,,Goodeniaceae,f,
Goodenia ovata,,Goodenia,,,Goodeniaceae,f,
Goodenia paniculata,,Goodenia,,,Goodeniaceae,f,
Gratiola pedunculata,,Gratiola,,,Plantaginaceae,f,
Grevillea mucronulata,,Grevillea,,,Proteaceae,f,
Grevillea robusta,,Grevillea,,,Proteaceae,f,
Grevillea sericea,,Grevillea,,,Proteaceae,f,
Grevillea sphacelata,,Grevillea,,,Proteaceae,f,
Grona varians,,Grona,,,Fabaceae,f,
Guioa semiglauca,,Guioa,,,Sapindaceae,f,
Haemodorum planifolium,,Haemodorum,,,Haemodoraceae,f,
Hakea dactyloides,,Hakea,,,Proteaceae,f,
Hakea laevipes,,Hakea,,,Proteaceae,f,
Hakea salicifolia,,Hakea,,,Proteaceae,f,
Hakea sericea,,Hakea,,,Proteaceae,f,
Hakea teretifolia,,Hakea,,,Proteaceae,f,
Hardenbergia violacea,,Hardenbergia,,,Fabaceae,f,
Hemigenia purpurea,,Hemigenia,,,Lamiaceae,f,
Hibbertia aspera,,Hibbertia,,,Dilleniaceae,f,
Hibbertia circumdans,,Hibbertia,,,Dilleniaceae,f,
Hibbertia dentata,,Hibbertia,,,Dilleniaceae,f,
Hibbertia diffusa,,Hibbertia,,,Dilleniaceae,f,
Wahlenbergia multicaulis,Tadgell's Bluebell,Wahlenbergia,,species,Campanulaceae,f,endangered population
Hibbertia nitida,,Hibbertia,,,Dilleniaceae,f,
Hibbertia pedunculata,,Hibbertia,,,Dilleniaceae,f,
Hibbertia scandens,,Hibbertia,,,Dilleniaceae,f,
Histiopteris incisa,,Histiopteris,,,Dennstaedtiaceae,f,
Homalanthus populifolius,,Homalanthus,,,Euphorbiaceae,f,
Hovea linearis,,Hovea,,,Fabaceae,f,
Hovea longifolia,,Hovea,,,Fabaceae,f,
Hydrocotyle sibthorpioides,,Hydrocotyle,,,Araliaceae,f,
Hypericum gramineum,,Hypericum,,,Hypericaceae,f,
Hypolepis muelleri,,Hypolepis,,,Dennstaedtiaceae,f,
Indigofera australis,,Indigofera,,,Fabaceae,f,
Isolepis cernua,,Isolepis,,,Cyperaceae,f,
Isolepis inundata,,Isolepis,,,Cyperaceae,f,
Isopogon anemonifolius,,Isopogon,,,Proteaceae,f,
Jacksonia scoparia,,Jacksonia,,,Fabaceae,f,
Juncus continuus,,Juncus,,,Juncaceae,f,
Juncus homalocaulis,,Juncus,,,Juncaceae,f,
Juncus mollis,,Juncus,,,Juncaceae,f,
Juncus pallidus,,Juncus,,,Juncaceae,f,
Juncus usitatus,,Juncus,,,Juncaceae,f,
Juncus remotiflorus,,Juncus,,,Juncaceae,f,
Juncus subsecundus,,Juncus,,,Juncaceae,f,
Kennedia rubicunda,,Kennedia,,,Fabaceae,f,
Kunzea ambigua,,Kunzea,,,Myrtaceae,f,
Kunzea capitata,,Kunzea,,,Myrtaceae,f,
Lachnagrostis filiformis,,Lachnagrostis,,,Poaceae,f,
Lagenophora gracilis,,Lagenophora,,,Asteraceae,f,
Lambertia formosa,,Lambertia,,,Proteaceae,f,
Lasiopetalum ferrugineum,,Lasiopetalum,,,Malvaceae,f,
Lasiopetalum macrophyllum,,Lasiopetalum,,,Malvaceae,f,
Lasiopetalum parviflorum,,Lasiopetalum,,,Malvaceae,f,
Lasiopetalum rufum,,Lasiopetalum,,,Malvaceae,f,
Laxmannia gracilis,,Laxmannia,,,Asparagaceae,f,
Lemna disperma,,Lemna,,,Araceae,f,
Lepidosperma laterale,,Lepidosperma,,,Cyperaceae,f,
Lepidosperma gunnii,,Lepidosperma,,,Cyperaceae,f,
Leptomeria acida,,Leptomeria,,,Santalaceae,f,
Leptospermum arachnoides,,Leptospermum,,,Myrtaceae,f,
Leptospermum juniperinum,,Leptospermum,,,Myrtaceae,f,
Leptospermum laevigatum,,Leptospermum,,,Myrtaceae,f,
Leptospermum parvifolium,,Leptospermum,,,Myrtaceae,f,
Leptospermum petersonii,,Leptospermum,,,Myrtaceae,f,
Leptospermum polygalifolium,,Leptospermum,,,Myrtaceae,f,
Lepyrodia scariosa,,Lepyrodia,,,Restionaceae,f,
Leucopogon amplexicaulis,,Leucopogon,,,Ericaceae,f,
Leucopogon ericoides,,Leucopogon,,,Ericaceae,f,
Leucopogon juniperinus,,Leucopogon,,,Ericaceae,f,
Leucopogon microphyllus,,Leucopogon,,,Ericaceae,f,
Leucopogon virgatus,,Leucopogon,,,Ericaceae,f,
Lindsaea microphylla,,Lindsaea,,,Lindsaeaceae,f,
Linum marginale,,Linum,,,Linaceae,f,
Lissanthe strigosa,,Lissanthe,,,Ericaceae,f,
Lobelia anceps,,Lobelia,,,Campanulaceae,f,
Lobelia andrewsii,,Lobelia,,,Campanulaceae,f,
Lobelia dentata,,Lobelia,,,Campanulaceae,f,
Lobelia purpurascens,,Lobelia,,,Campanulaceae,f,
Logania albiflora,,Logania,,,Loganiaceae,f,
Lomandra brevis,,Lomandra,,,Asparagaceae,f,
Lomandra cylindrica,,Lomandra,,,Asparagaceae,f,
Lomandra glauca,,Lomandra,,,Asparagaceae,f,
Lomandra gracilis,,Lomandra,,,Asparagaceae,f,
Lomandra longifolia,,Lomandra,,,Asparagaceae,f,
Lomandra multiflora,,Lomandra,,,Asparagaceae,f,
Lomandra obliqua,,Lomandra,,,Asparagaceae,f,
Lomatia silaifolia,,Lomatia,,,Proteaceae,f,
Lophostemon confertus,,Lophostemon,,,Myrtaceae,f,
Lyperanthus suaveolens,,Lyperanthus,,,Orchidaceae,f,
Machaerina acuta,,Machaerina,,,Cyperaceae,f,
Machaerina articulata,,Machaerina,,,Cyperaceae,f,
Machaerina juncea,,Machaerina,,,Cyperaceae,f,
Macrozamia communis,,Macrozamia,,,Zamiaceae,f,
Macrozamia spiralis,,Macrozamia,,,Zamiaceae,f,
Leichhardtia suaveolens,,Leichhardtia,,,Apocynaceae,f,
Leichhardtia viridiflora,,Leichhardtia,,,Apocynaceae,f,
