scientific_name,exotic,native,category
Schoenus lepidosperma,f,Native,Native
Grevillea diffusa,f,Native,Native
Vittadinia cuneata var. cuneata,f,Native,Native
Dendrobium delicatum,f,Native,Native
Lauraceae,f,Native,Genus Only
Apium prostratum var. prostratum,f,Native,Native
Cycnogeton microtuberosum,f,Native,Native
Taraxacum,f,Exotic,Genus Only
Rhytidosporum spp.,f,Native,Genus Only
Oxalis Pilbara,f,Native,Native
Philotheca difformis,f,Native,Native
Commelina diffusa,f,Exotic,Exotic
Eucalyptus alligatrix,f,Native,Native
Diplachne fusca,f,Native,Native
Podranea ricasoliana,f,Exotic,Exotic
Fraxinus angustifolia,f,Exotic,Exotic
Crocosmia crocosmiiflora,f,Exotic,Exotic
Lomandra micrantha,f,Native,Native
Boronia barkeriana,f,Native,Native
Bougainvillea glabra,f,Exotic,Exotic
Poa sieberiana var. sieberiana,f,Native,Native
Commersonia rugosa,f,Native,Native
Rytidosperma racemosum var. racemosum,f,Native,Native
Epilobium billardiereanum,f,Native,Native
Sarcochilus falcatus,f,Native,Native
Platanus hispanica,f,Exotic,Exotic
Salvia leucantha,f,Exotic,Exotic
Lasiopetalum ferrugineum var. cordatum,f,Native,Native
Erythrina sykesii,f,Exotic,Exotic
Plantago coronopus,f,Exotic,Exotic
Bothriochloa decipiens var. decipiens,f,Native,Native
Notelaea longifolia f. longifolia,f,Native,Native
Osteospermum moniliferum moniliferum,f,Exotic,Exotic
Dodonaea viscosa subsp. cuneata,f,Native,Native
Gamochaeta,f,Native,Native
Salvinia x molesta,f,Exotic,Exotic
Dichondra Inglewood,f,Native,Native
Dichondra sp. inglewood (j.m.dalby 86/93),f,Native,Native
Myoporum boninense,f,Native,Native
Poa labillardierei var. labillardierei,f,Native,Native
Lepidosperma cf. laterale,f,Native,Native
Urtica dioica,f,Exotic,Exotic
Canna generalis,f,Exotic,Exotic
Agapanthus praecox,f,Exotic,Exotic
Dianella caerulea var. caerulea,f,Native,Native
Epidendrum obrienianum,f,Exotic,Exotic
Hippeastrum carinatum,f,Exotic,Exotic
Rubus,f,Native,Genus Only
Zornia dyctiocarpa var. dyctiocarpa,f,Native,Native
Pyrorchis nigricans,f,Native,Native
Grevillea concinna,f,Native,Native
Bryophyllum houghtonii,f,Exotic,Exotic
Eucalyptus globulus,f,Native,Native
Acacia saligna,t,Native,Native
Corymbia citriodora,t,Exotic,Exotic
Corymbia torelliana,t,Exotic,Exotic
Cotula coronopifolia,t,Exotic,Exotic
Oxalis thompsoniae,t,Exotic,Exotic
Sida spinosa,t,Exotic,Exotic
Thunbergia alata,t,Exotic,Exotic
Agave americana,t,Exotic,Exotic
Yucca aloifolia,t,Exotic,Exotic
Nothoscordum borbonicum,t,Exotic,Exotic
Alternanthera philoxeroides,t,Exotic,Exotic
Alternanthera pungens,t,Exotic,Exotic
Amaranthus hybridus,t,Exotic,Exotic
Amaranthus viridis,t,Exotic,Exotic
Gomphrena celosioides,t,Exotic,Exotic
Clivia miniata,t,Exotic,Exotic
